Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
classic-sweat-tee,Classic Sweat Tee,"<p>Our signature sweat-resistant tee designed to reduce visible pit stains and keep you fresh through long days. Soft, breathable, and built for repeat wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,anti-sweat,stain-resistant,bestseller",TRUE,Size,S,Color,Onyx Black,ST-CL-OB-S,220,shopify,25,deny,manual,39.00,49.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/classic-onyx-front.jpg,1,Classic Sweat Tee in Onyx Black,Classic Sweat Tee | Sweat Tee's,Anti-sweat men's tee with stain-resistant fabric and all-day comfort,active
classic-sweat-tee,Classic Sweat Tee,"<p>Our signature sweat-resistant tee designed to reduce visible pit stains and keep you fresh through long days. Soft, breathable, and built for repeat wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,anti-sweat,stain-resistant,bestseller",TRUE,Size,M,Color,Onyx Black,ST-CL-OB-M,230,shopify,25,deny,manual,39.00,49.00,TRUE,TRUE,,2,,Classic Sweat Tee | Sweat Tee's,Anti-sweat men's tee with stain-resistant fabric and all-day comfort,active
classic-sweat-tee,Classic Sweat Tee,"<p>Our signature sweat-resistant tee designed to reduce visible pit stains and keep you fresh through long days. Soft, breathable, and built for repeat wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,anti-sweat,stain-resistant,bestseller",TRUE,Size,L,Color,Onyx Black,ST-CL-OB-L,240,shopify,25,deny,manual,39.00,49.00,TRUE,TRUE,,3,,Classic Sweat Tee | Sweat Tee's,Anti-sweat men's tee with stain-resistant fabric and all-day comfort,active
classic-sweat-tee,Classic Sweat Tee,"<p>Our signature sweat-resistant tee designed to reduce visible pit stains and keep you fresh through long days. Soft, breathable, and built for repeat wear.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,anti-sweat,stain-resistant,bestseller",TRUE,Size,XL,Color,Onyx Black,ST-CL-OB-XL,250,shopify,25,deny,manual,39.00,49.00,TRUE,TRUE,,4,,Classic Sweat Tee | Sweat Tee's,Anti-sweat men's tee with stain-resistant fabric and all-day comfort,active

coolcore-performance-tee,CoolCore Performance Tee,"<p>Maximum airflow, lightweight comfort, and sweat-channel fabric that helps keep underarm areas drier during high-pressure days.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,performance,anti-sweat,new-drop",TRUE,Size,S,Color,Steel Grey,ST-CC-SG-S,210,shopify,20,deny,manual,44.00,54.00,TRUE,TRUE,https://cdn.example.com/sweat-tees/coolcore-steel-front.jpg,1,CoolCore Performance Tee in Steel Grey,CoolCore Performance Tee | Sweat Tee's,Performance anti-sweat tee for breathable all-day wear,active
coolcore-performance-tee,CoolCore Performance Tee,"<p>Maximum airflow, lightweight comfort, and sweat-channel fabric that helps keep underarm areas drier during high-pressure days.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,performance,anti-sweat,new-drop",TRUE,Size,M,Color,Steel Grey,ST-CC-SG-M,220,shopify,20,deny,manual,44.00,54.00,TRUE,TRUE,,2,,CoolCore Performance Tee | Sweat Tee's,Performance anti-sweat tee for breathable all-day wear,active
coolcore-performance-tee,CoolCore Performance Tee,"<p>Maximum airflow, lightweight comfort, and sweat-channel fabric that helps keep underarm areas drier during high-pressure days.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,performance,anti-sweat,new-drop",TRUE,Size,L,Color,Steel Grey,ST-CC-SG-L,230,shopify,20,deny,manual,44.00,54.00,TRUE,TRUE,,3,,CoolCore Performance Tee | Sweat Tee's,Performance anti-sweat tee for breathable all-day wear,active
coolcore-performance-tee,CoolCore Performance Tee,"<p>Maximum airflow, lightweight comfort, and sweat-channel fabric that helps keep underarm areas drier during high-pressure days.</p>",Sweat Tee's,Apparel & Accessories > Clothing > Shirts & Tops,T-Shirt,"mens,performance,anti-sweat,new-drop",TRUE,Size,XL,Color,Steel Grey,ST-CC-SG-XL,240,shopify,20,deny,manual,44.00,54.00,TRUE,TRUE,,4,,CoolCore Performance Tee | Sweat Tee's,Performance anti-sweat tee for breathable all-day wear,active

